owl2dl_profile_violation,annotation_property_count,obj_property_count_incl,tboxrbox_size_incl,signature_size,owl2_rl,reasoner_jar,indiv_count,axiom_types_incl,rule_ct_incl,anno_ct,experiment_version,tbox_nominals,filepath,AL,datatypes_count_incl,experiment_date,owl2,signature_size_incl,ax_complexrhs_ct,owl2_ql,param_ontfile,param_reasoner,avg_size_complexrhs,logical_axiom_count,filename,owl2_el,class_count,logical_axiom_count_incl,peak_memory_usage,jar_name,avg_size_complexrhs_incl,dt_builtin_ct,dataproperty_count_incl,dt_notbuiltin_ct,reasoner_class,rdfs,abox_nominals_incl,filesize,owlapi_version,obj_property_count,valid_imports,constructs,dt_builtin_ct_incl,rbox_size,tbox_nominals_incl,ax_complexrhs_ct_incl,dataproperty_count,abox_size_incl,indiv_count_incl,tbox_size,owl2_dl,rbox_size_incl,rule_ct,reasoner,tboxrbox_size,axiom_type_count,tbox_size_incl,abox_nominals,experiment_runid,datatypes_count,experiment_id,axiom_types,axiom_type_count_incl,dt_notbuiltin_ct_incl,class_count_incl,constructs_incl,reasoner_timeout,abox_size,inf_hier_directory,fixed_profile_violations
,0,2,368,252,0,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:56,1,252,101,1,/home/zeus/experiments/bpdownload/repo/owlxml/aeo.anatomical-entity-ontology.6.owl.xml,hermit,1,368,aeo.anatomical-entity-ontology.6.owl.xml,1,250,368,235985304,metrics.jar,1,0,0,0,ReasonerFactory,0,0,99474,metrics.jar,2,,E AL ,0,0,0,101,0,0,0,368,1,0,0,,368,Declaration:252 SubClassOf:368 ,368,0,2.76177E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:252 SubClassOf:368 ,0,250,E AL ,20000000,0,null,
,0,8,34,193,0,metrics.jar,161,DataPropertyAssertion EquivalentClasses ObjectPropertyDomain Declaration ClassAssertion InverseObjectProperties SubClassOf ObjectPropertyRange ObjectPropertyAssertion ,0,0,1.0.0.0,1,/home/zeus/experiments/bpdownload/repo/owlxml,AL,2,2017/3/31 9:56,1,193,4,0,/home/zeus/experiments/bpdownload/repo/owlxml/allergydetector.allergy-detector-ii.1.owl.xml,hermit,4.25,832,allergydetector.allergy-detector-ii.1.owl.xml,0,12,832,279925120,metrics.jar,4.25,2,10,0,ReasonerFactory,0,0,287500,metrics.jar,8,,C D I AL O ,2,4,1,4,10,798,161,30,1,4,0,,34,DataPropertyAssertion:324 EquivalentClasses:4 ObjectPropertyDomain:8 Declaration:190 ClassAssertion:316 InverseObjectProperties:4 SubClassOf:10 ObjectPropertyRange:8 ObjectPropertyAssertion:158 ,30,0,2.76177E+15,2,OntologyMetricsGathering,DataPropertyAssertion EquivalentClasses ObjectPropertyDomain Declaration ClassAssertion InverseObjectProperties SubClassOf ObjectPropertyRange ObjectPropertyAssertion ,DataPropertyAssertion:324 EquivalentClasses:4 ObjectPropertyDomain:8 Declaration:190 ClassAssertion:316 InverseObjectProperties:4 SubClassOf:10 ObjectPropertyRange:8 ObjectPropertyAssertion:158 ,0,12,C D I AL O ,20000000,798,null,
,0,5,476,51,0,metrics.jar,0,EquivalentClasses FunctionalObjectProperty ObjectPropertyDomain DisjointClasses Declaration SubClassOf ObjectPropertyRange ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:56,1,51,212,0,/home/zeus/experiments/bpdownload/repo/owlxml/amino-acid.amino-acid-ontology.2.owl.xml,hermit,1.037735849,476,amino-acid.amino-acid-ontology.2.owl.xml,0,46,476,236461592,metrics.jar,1.037735849,0,0,0,ReasonerFactory,0,0,77729,metrics.jar,5,,C F AL ,0,0,0,212,0,0,0,476,1,0,0,,476,EquivalentClasses:13 FunctionalObjectProperty:5 ObjectPropertyDomain:5 DisjointClasses:199 Declaration:51 SubClassOf:249 ObjectPropertyRange:5 ,476,0,2.76177E+15,0,OntologyMetricsGathering,EquivalentClasses FunctionalObjectProperty ObjectPropertyDomain DisjointClasses Declaration SubClassOf ObjectPropertyRange ,EquivalentClasses:13 FunctionalObjectProperty:5 ObjectPropertyDomain:5 DisjointClasses:199 Declaration:51 SubClassOf:249 ObjectPropertyRange:5 ,0,46,C F AL ,20000000,0,null,
,0,11,583,552,0,metrics.jar,0,EquivalentObjectProperties SubObjectPropertyOf Declaration SubClassOf InverseObjectProperties ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:56,1,552,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/ancestro.ancestry-ontology.2.owl.xml,hermit,NaN,583,ancestro.ancestry-ontology.2.owl.xml,0,541,583,236615600,metrics.jar,NaN,0,0,0,ReasonerFactory,0,0,110090,metrics.jar,11,,H I AL ,0,29,0,0,0,0,0,554,1,29,0,,583,EquivalentObjectProperties:6 SubObjectPropertyOf:10 Declaration:550 SubClassOf:554 InverseObjectProperties:13 ,554,0,2.76178E+15,0,OntologyMetricsGathering,EquivalentObjectProperties SubObjectPropertyOf Declaration SubClassOf InverseObjectProperties ,EquivalentObjectProperties:6 SubObjectPropertyOf:10 Declaration:550 SubClassOf:554 InverseObjectProperties:13 ,0,541,H I AL ,20000000,0,null,
,0,0,283,289,1,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:56,1,289,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/ao.asthma-ontology.2.owl.xml,hermit,NaN,283,ao.asthma-ontology.2.owl.xml,1,289,283,236242864,metrics.jar,NaN,0,0,0,ReasonerFactory,1,0,58545,metrics.jar,0,,AL ,0,0,0,0,0,0,0,283,1,0,0,,283,Declaration:289 SubClassOf:283 ,283,0,2.76178E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:289 SubClassOf:283 ,0,289,AL ,20000000,0,null,
,0,0,0,0,1,metrics.jar,0,,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:56,1,0,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/apaonto.psychology-ontology.4.owl.xml,hermit,NaN,0,apaonto.psychology-ontology.4.owl.xml,1,0,0,234791512,metrics.jar,NaN,0,0,0,ReasonerFactory,1,0,779,metrics.jar,0,,AL ,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,2.76178E+15,0,OntologyMetricsGathering,,,0,0,AL ,20000000,0,null,
,0,0,304,307,1,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:56,1,307,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/apo.ascomycete-phenotype-ontology.26.owl.xml,hermit,NaN,304,apo.ascomycete-phenotype-ontology.26.owl.xml,1,307,304,236285048,metrics.jar,NaN,0,0,0,ReasonerFactory,1,0,83228,metrics.jar,0,,AL ,0,0,0,0,0,0,0,304,1,0,0,,304,Declaration:307 SubClassOf:304 ,304,0,2.76178E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:307 SubClassOf:304 ,0,307,AL ,20000000,0,null,
,0,0,283,284,1,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:57,1,284,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/asdpto.autism-spectrum-disorder-phenotype-ontology.1.owl.xml,hermit,NaN,283,asdpto.autism-spectrum-disorder-phenotype-ontology.1.owl.xml,1,284,283,235973328,metrics.jar,NaN,0,0,0,ReasonerFactory,1,0,49963,metrics.jar,0,,AL ,0,0,0,0,0,0,0,283,1,0,0,,283,Declaration:284 SubClassOf:283 ,283,0,2.76178E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:284 SubClassOf:283 ,0,284,AL ,20000000,0,null,
,0,0,10153,10167,1,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:57,1,10167,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/atc.anatomical-therapeutic-chemical-classification.1.owl.xml,hermit,NaN,10153,atc.anatomical-therapeutic-chemical-classification.1.owl.xml,1,10167,10153,409647440,metrics.jar,NaN,0,0,0,ReasonerFactory,1,0,2358901,metrics.jar,0,,AL ,0,0,0,0,0,0,0,10153,1,0,0,,10153,Declaration:10167 SubClassOf:10153 ,10153,0,2.76178E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:10167 SubClassOf:10153 ,0,10167,AL ,20000000,0,null,
,0,1,12163,6209,0,metrics.jar,73,Declaration SubClassOf ObjectPropertyAssertion ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:57,1,6209,6029,1,/home/zeus/experiments/bpdownload/repo/owlxml/ato.amphibian-taxonomy-ontology.2.owl.xml,hermit,1,12232,ato.amphibian-taxonomy-ontology.2.owl.xml,1,6135,12232,883593704,metrics.jar,1,0,0,0,ReasonerFactory,0,0,3371258,metrics.jar,1,,E AL ,0,0,0,6029,0,69,73,12163,1,0,0,,12163,Declaration:6209 SubClassOf:12163 ObjectPropertyAssertion:69 ,12163,0,2.76178E+15,0,OntologyMetricsGathering,Declaration SubClassOf ObjectPropertyAssertion ,Declaration:6209 SubClassOf:12163 ObjectPropertyAssertion:69 ,0,6135,E AL ,20000000,69,null,
,0,0,2178,2098,1,metrics.jar,0,Declaration SubClassOf ,0,0,1.0.0.0,0,/home/zeus/experiments/bpdownload/repo/owlxml,AL,0,2017/3/31 9:57,1,2098,0,1,/home/zeus/experiments/bpdownload/repo/owlxml/atol.animal-trait-ontology-for-livestock.1.owl.xml,hermit,NaN,2178,atol.animal-trait-ontology-for-livestock.1.owl.xml,1,2098,2178,237103840,metrics.jar,NaN,0,0,0,ReasonerFactory,1,0,535487,metrics.jar,0,,AL ,0,0,0,0,0,0,0,2178,1,0,0,,2178,Declaration:2098 SubClassOf:2178 ,2178,0,2.76179E+15,0,OntologyMetricsGathering,Declaration SubClassOf ,Declaration:2098 SubClassOf:2178 ,0,2098,AL ,20000000,0,null,
